Дата,Сумма,Направление,Контрагент,ИНН,Назначение платежа
28.04.2025,-88000.00,Расход,СФР по г. Москве и МО,7703363868,Страховые взносы за 04.2025
05.05.2025,-130000.00,Расход,ООО «Бизнес-Парк Румянцево»,7729112233,Арендная плата за офис за 05.2025. В т.ч. НДС 20%
08.05.2025,386425.00,Приход,ООО «Гранд Девелопмент»,7736251489,"Оплата по договору оказания услуг №200/2025, акт от 08.05.2025. НДС не облагается (УСН)"
10.05.2025,-40026.00,Расход,ООО «Диджитал Сервис» // Иванов П. Р.,,Выплата: аванс за 05.2025
10.05.2025,-43126.00,Расход,ООО «Диджитал Сервис» // Соколова Е. Д.,,Выплата: аванс за 05.2025
10.05.2025,-31777.00,Расход,ООО «Диджитал Сервис» // Морозов А. К.,,Выплата: аванс за 05.2025
10.05.2025,-39057.00,Расход,ООО «Диджитал Сервис» // Волкова Н. С.,,Выплата: аванс за 05.2025
15.05.2025,408951.00,Приход,АО «ФармаЛогистика»,7728198765,"Оплата по договору оказания услуг №201/2025, акт от 15.05.2025. НДС не облагается (УСН)"
15.05.2025,-95409.00,Расход,ООО «Яндекс»,7736207543,Рекламные услуги (Яндекс.Директ) за 05.2025
19.05.2025,-82341.00,Расход,ИП Гусев Д.А. (фриланс-дизайн),500112223344,Услуги дизайна по договору подряда за 05.2025
22.05.2025,344318.00,Приход,ООО «Северный Ветер»,7810334455,"Оплата по договору оказания услуг №202/2025, акт от 22.05.2025. НДС не облагается (УСН)"
25.05.2025,-32499.00,Расход,ООО «Диджитал Сервис» // Иванов П. Р.,,Выплата: зарплата за 05.2025
25.05.2025,-35429.00,Расход,ООО «Диджитал Сервис» // Соколова Е. Д.,,Выплата: зарплата за 05.2025
25.05.2025,-32359.00,Расход,ООО «Диджитал Сервис» // Морозов А. К.,,Выплата: зарплата за 05.2025
25.05.2025,-30425.00,Расход,ООО «Диджитал Сервис» // Волкова Н. С.,,Выплата: зарплата за 05.2025
28.05.2025,-42000.00,Расход,УФК по г. Москве (ИФНС России),7727406020,НДФЛ за 05.2025
28.05.2025,-88000.00,Расход,СФР по г. Москве и МО,7703363868,Страховые взносы за 05.2025
05.06.2025,-130000.00,Расход,ООО «Бизнес-Парк Румянцево»,7729112233,Арендная плата за офис за 06.2025. В т.ч. НДС 20%
08.06.2025,224364.00,Приход,ООО «Гранд Девелопмент»,7736251489,"Оплата по договору оказания услуг №200/2025, акт от 08.06.2025. НДС не облагается (УСН)"
10.06.2025,-28373.00,Расход,ООО «Диджитал Сервис» // Иванов П. Р.,,Выплата: аванс за 06.2025
10.06.2025,-35169.00,Расход,ООО «Диджитал Сервис» // Соколова Е. Д.,,Выплата: аванс за 06.2025
10.06.2025,-44887.00,Расход,ООО «Диджитал Сервис» // Морозов А. К.,,Выплата: аванс за 06.2025
10.06.2025,-29411.00,Расход,ООО «Диджитал Сервис» // Волкова Н. С.,,Выплата: аванс за 06.2025
15.06.2025,354067.00,Приход,АО «ФармаЛогистика»,7728198765,"Оплата по договору оказания услуг №201/2025, акт от 15.06.2025. НДС не облагается (УСН)"
15.06.2025,-99017.00,Расход,ООО «Яндекс»,7736207543,Рекламные услуги (Яндекс.Директ) за 06.2025
19.06.2025,-86926.00,Расход,ИП Гусев Д.А. (фриланс-дизайн),500112223344,Услуги дизайна по договору подряда за 06.2025
22.06.2025,325783.00,Приход,ООО «Северный Ветер»,7810334455,"Оплата по договору оказания услуг №202/2025, акт от 22.06.2025. НДС не облагается (УСН)"
25.06.2025,-41295.00,Расход,ООО «Диджитал Сервис» // Иванов П. Р.,,Выплата: зарплата за 06.2025
25.06.2025,-35139.00,Расход,ООО «Диджитал Сервис» // Соколова Е. Д.,,Выплата: зарплата за 06.2025
25.06.2025,-33323.00,Расход,ООО «Диджитал Сервис» // Морозов А. К.,,Выплата: зарплата за 06.2025
25.06.2025,-37518.00,Расход,ООО «Диджитал Сервис» // Волкова Н. С.,,Выплата: зарплата за 06.2025
25.06.2025,-95000.00,Расход,УФК по г. Москве (ИФНС России),7727406020,"Авансовый платёж по УСН (доходы минус расходы, 15%) за квартал"
28.06.2025,-42000.00,Расход,УФК по г. Москве (ИФНС России),7727406020,НДФЛ за 06.2025
28.06.2025,-88000.00,Расход,СФР по г. Москве и МО,7703363868,Страховые взносы за 06.2025
