Дата операции;Номер пп;Тип операции;Наименование контрагента;ИНН контрагента;КПП контрагента;Расчетный счет контрагента;БИК банка контрагента;Банк контрагента;Назначение платежа;Сумма дебет (руб.);Сумма кредит (руб.);Валюта;Остаток на конец дня (руб.);Категория
15.02.2025;23;Приход;АО «ФармаЛогистика»;7728198765;772801001;;;;Оплата по договору оказания услуг №201/2025, акт от 15.02.2025. НДС не облагается (УСН);;298394.00;RUB;839170.00;Выручка
15.02.2025;24;Расход;ООО «Яндекс»;7736207543;770601001;;;;Рекламные услуги (Яндекс.Директ) за 02.2025;89929.00;;RUB;749241.00;Подрядчики
19.02.2025;25;Расход;ИП Гусев Д.А. (фриланс-дизайн);500112223344;;;;;Услуги дизайна по договору подряда за 02.2025;108708.00;;RUB;640533.00;Подрядчики
20.02.2025;26;Расход;ООО «Гранд Продакшн»;7736998811;773601001;;;;Крупная предоплата по договору поставки №999/2025 (срочный заказ). В т.ч. НДС 20%;520000.00;;RUB;120533.00;Поставщики-разрыв
20.02.2025;27;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;Уплата НДС/налога по требованию. Срок — сегодня;182000.00;;RUB;-61467.00;Налоги-разрыв
22.02.2025;28;Приход;ООО «Северный Ветер»;7810334455;781001001;;;;Оплата по договору оказания услуг №202/2025, акт от 22.02.2025. НДС не облагается (УСН);;316183.00;RUB;254716.00;Выручка
23.02.2025;29;Приход;ООО «Крупный Клиент»;7701555666;770101001;;;;Оплата по договору (задержана, поступила позже срока). НДС не облагается;;572000.00;RUB;826716.00;Выручка
25.02.2025;30;Расход;ООО «Диджитал Сервис» // Иванов П. Р.;;;;;;Выплата: зарплата за 02.2025;33774.00;;RUB;792942.00;Зарплата
25.02.2025;31;Расход;ООО «Диджитал Сервис» // Соколова Е. Д.;;;;;;Выплата: зарплата за 02.2025;44727.00;;RUB;748215.00;Зарплата
25.02.2025;32;Расход;ООО «Диджитал Сервис» // Морозов А. К.;;;;;;Выплата: зарплата за 02.2025;28824.00;;RUB;719391.00;Зарплата
25.02.2025;33;Расход;ООО «Диджитал Сервис» // Волкова Н. С.;;;;;;Выплата: зарплата за 02.2025;36730.00;;RUB;682661.00;Зарплата
28.02.2025;34;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;НДФЛ за 02.2025;42000.00;;RUB;640661.00;Налоги
28.02.2025;35;Расход;СФР по г. Москве и МО;7703363868;770801001;;;;Страховые взносы за 02.2025;88000.00;;RUB;552661.00;Взносы
05.03.2025;36;Расход;ООО «Бизнес-Парк Румянцево»;7729112233;772901001;;;;Арендная плата за офис за 03.2025. В т.ч. НДС 20%;130000.00;;RUB;422661.00;Аренда
08.03.2025;37;Приход;ООО «Гранд Девелопмент»;7736251489;773601001;;;;Оплата по договору оказания услуг №200/2025, акт от 08.03.2025. НДС не облагается (УСН);;340074.00;RUB;762735.00;Выручка
10.03.2025;38;Расход;ООО «Диджитал Сервис» // Иванов П. Р.;;;;;;Выплата: аванс за 03.2025;32194.00;;RUB;730541.00;Зарплата
10.03.2025;39;Расход;ООО «Диджитал Сервис» // Соколова Е. Д.;;;;;;Выплата: аванс за 03.2025;38108.00;;RUB;692433.00;Зарплата
10.03.2025;40;Расход;ООО «Диджитал Сервис» // Морозов А. К.;;;;;;Выплата: аванс за 03.2025;28445.00;;RUB;663988.00;Зарплата
10.03.2025;41;Расход;ООО «Диджитал Сервис» // Волкова Н. С.;;;;;;Выплата: аванс за 03.2025;42535.00;;RUB;621453.00;Зарплата
15.03.2025;42;Приход;АО «ФармаЛогистика»;7728198765;772801001;;;;Оплата по договору оказания услуг №201/2025, акт от 15.03.2025. НДС не облагается (УСН);;191723.00;RUB;813176.00;Выручка
15.03.2025;43;Расход;ООО «Яндекс»;7736207543;770601001;;;;Рекламные услуги (Яндекс.Директ) за 03.2025;114848.00;;RUB;698328.00;Подрядчики
19.03.2025;44;Расход;ИП Гусев Д.А. (фриланс-дизайн);500112223344;;;;;Услуги дизайна по договору подряда за 03.2025;85447.00;;RUB;612881.00;Подрядчики
22.03.2025;45;Приход;ООО «Северный Ветер»;7810334455;781001001;;;;Оплата по договору оказания услуг №202/2025, акт от 22.03.2025. НДС не облагается (УСН);;374354.00;RUB;987235.00;Выручка
25.03.2025;46;Расход;ООО «Диджитал Сервис» // Иванов П. Р.;;;;;;Выплата: зарплата за 03.2025;44421.00;;RUB;942814.00;Зарплата
25.03.2025;47;Расход;ООО «Диджитал Сервис» // Соколова Е. Д.;;;;;;Выплата: зарплата за 03.2025;28772.00;;RUB;914042.00;Зарплата
25.03.2025;48;Расход;ООО «Диджитал Сервис» // Морозов А. К.;;;;;;Выплата: зарплата за 03.2025;41964.00;;RUB;872078.00;Зарплата
25.03.2025;49;Расход;ООО «Диджитал Сервис» // Волкова Н. С.;;;;;;Выплата: зарплата за 03.2025;43254.00;;RUB;828824.00;Зарплата
25.03.2025;50;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;Авансовый платёж по УСН (доходы минус расходы, 15%) за квартал;95000.00;;RUB;733824.00;Налоги
28.03.2025;51;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;НДФЛ за 03.2025;42000.00;;RUB;691824.00;Налоги
28.03.2025;52;Расход;СФР по г. Москве и МО;7703363868;770801001;;;;Страховые взносы за 03.2025;88000.00;;RUB;603824.00;Взносы
