Дата операции;Номер пп;Тип операции;Наименование контрагента;ИНН контрагента;КПП контрагента;Расчетный счет контрагента;БИК банка контрагента;Банк контрагента;Назначение платежа;Сумма дебет (руб.);Сумма кредит (руб.);Валюта;Остаток на конец дня (руб.);Категория
14.02.2025;35;Расход;ООО «СДЭК-Логистика»;5406447262;540601001;;;;Услуги доставки и фулфилмента за 02.2025. В т.ч. НДС 20%;60771.00;;RUB;4556535.00;Логистика
16.02.2025;36;Расход;ООО «СкладОпт»;5047223344;504701001;;;;Предоплата за товар по договору №301/2025. В т.ч. НДС 20%;443709.00;;RUB;4112826.00;Поставщики
17.02.2025;37;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;446350.00;RUB;4559176.00;Выручка-МП
17.02.2025;38;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;333438.00;RUB;4892614.00;Выручка-МП
17.02.2025;39;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;244031.00;RUB;5136645.00;Выручка-МП
18.02.2025;40;Расход;ООО «Вайлдберриз»;7721546864;500301001;;;;Оплата продвижения (реклама) за 02.2025;113540.00;;RUB;5023105.00;Реклама
20.02.2025;41;Расход;ООО «Гуанчжоу Импорт»;7743998877;774301001;;;;Крупная предоплата по договору поставки №999/2025 (срочный заказ). В т.ч. НДС 20%;950000.00;;RUB;4073105.00;Поставщики-разрыв
20.02.2025;42;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;Уплата НДС/налога по требованию. Срок — сегодня;332500.00;;RUB;3740605.00;Налоги-разрыв
23.02.2025;43;Приход;ООО «Крупный Клиент»;7701555666;770101001;;;;Оплата по договору (задержана, поступила позже срока). НДС не облагается;;1045000.00;RUB;4785605.00;Выручка
24.02.2025;44;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;266875.00;RUB;5052480.00;Выручка-МП
24.02.2025;45;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;292865.00;RUB;5345345.00;Выручка-МП
24.02.2025;46;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;451141.00;RUB;5796486.00;Выручка-МП
25.02.2025;47;Расход;ООО «Маркет Стар» // Лебедев М. О.;;;;;;зарплата за 02.2025;31662.00;;RUB;5764824.00;Зарплата
25.02.2025;48;Расход;ООО «Маркет Стар» // Зайцева И. П.;;;;;;зарплата за 02.2025;32139.00;;RUB;5732685.00;Зарплата
25.02.2025;49;Расход;ООО «Маркет Стар» // Орлов С. В.;;;;;;зарплата за 02.2025;28866.00;;RUB;5703819.00;Зарплата
28.02.2025;50;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;НДФЛ за 02.2025;35000.00;;RUB;5668819.00;Налоги
28.02.2025;51;Расход;СФР по г. Москве и МО;7703363868;770801001;;;;Страховые взносы за 02.2025;72000.00;;RUB;5596819.00;Взносы
03.03.2025;52;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;321482.00;RUB;5918301.00;Выручка-МП
03.03.2025;53;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;394045.00;RUB;6312346.00;Выручка-МП
03.03.2025;54;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;386281.00;RUB;6698627.00;Выручка-МП
06.03.2025;55;Расход;ООО «Гуанчжоу Импорт»;7743998877;774301001;;;;Предоплата за товар по договору №300/2025. В т.ч. НДС 20%;369707.00;;RUB;6328920.00;Поставщики
10.03.2025;56;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;451172.00;RUB;6780092.00;Выручка-МП
10.03.2025;57;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;175956.00;RUB;6956048.00;Выручка-МП
10.03.2025;58;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;322176.00;RUB;7278224.00;Выручка-МП
10.03.2025;59;Расход;ООО «Маркет Стар» // Лебедев М. О.;;;;;;аванс за 03.2025;31646.00;;RUB;7246578.00;Зарплата
10.03.2025;60;Расход;ООО «Маркет Стар» // Зайцева И. П.;;;;;;аванс за 03.2025;36424.00;;RUB;7210154.00;Зарплата
10.03.2025;61;Расход;ООО «Маркет Стар» // Орлов С. В.;;;;;;аванс за 03.2025;27071.00;;RUB;7183083.00;Зарплата
14.03.2025;62;Расход;ООО «СДЭК-Логистика»;5406447262;540601001;;;;Услуги доставки и фулфилмента за 03.2025. В т.ч. НДС 20%;62603.00;;RUB;7120480.00;Логистика
16.03.2025;63;Расход;ООО «СкладОпт»;5047223344;504701001;;;;Предоплата за товар по договору №301/2025. В т.ч. НДС 20%;621301.00;;RUB;6499179.00;Поставщики
17.03.2025;64;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;338989.00;RUB;6838168.00;Выручка-МП
17.03.2025;65;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;254292.00;RUB;7092460.00;Выручка-МП
17.03.2025;66;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;384526.00;RUB;7476986.00;Выручка-МП
18.03.2025;67;Расход;ООО «Вайлдберриз»;7721546864;500301001;;;;Оплата продвижения (реклама) за 03.2025;115052.00;;RUB;7361934.00;Реклама
24.03.2025;68;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;386409.00;RUB;7748343.00;Выручка-МП
24.03.2025;69;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;131539.00;RUB;7879882.00;Выручка-МП
24.03.2025;70;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;217093.00;RUB;8096975.00;Выручка-МП
25.03.2025;71;Расход;ООО «Маркет Стар» // Лебедев М. О.;;;;;;зарплата за 03.2025;28788.00;;RUB;8068187.00;Зарплата
25.03.2025;72;Расход;ООО «Маркет Стар» // Зайцева И. П.;;;;;;зарплата за 03.2025;35219.00;;RUB;8032968.00;Зарплата
25.03.2025;73;Расход;ООО «Маркет Стар» // Орлов С. В.;;;;;;зарплата за 03.2025;23140.00;;RUB;8009828.00;Зарплата
25.03.2025;74;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;Авансовый платёж по УСН за квартал;140000.00;;RUB;7869828.00;Налоги
28.03.2025;75;Расход;УФК по г. Москве (ИФНС России);7727406020;770801001;40101810045250010041;004525988;ГУ Банка России по ЦФО//УФК по г. Москве;НДФЛ за 03.2025;35000.00;;RUB;7834828.00;Налоги
28.03.2025;76;Расход;СФР по г. Москве и МО;7703363868;770801001;;;;Страховые взносы за 03.2025;72000.00;;RUB;7762828.00;Взносы
31.03.2025;77;Приход;ООО «Вайлдберриз»;7721546864;500301001;;;;Выплата по агентскому договору (Wildberries), реестр за неделю. Комиссия удержана. НДС не облагается;;389285.00;RUB;8152113.00;Выручка-МП
31.03.2025;78;Приход;ООО «Интернет Решения» (OZON);7704217370;770401001;;;;Выплата по агентскому договору (Ozon), реестр за неделю. Комиссия удержана. НДС не облагается;;388743.00;RUB;8540856.00;Выручка-МП
31.03.2025;79;Приход;ООО «Яндекс.Маркет»;9704254424;770401001;;;;Выплата по агентскому договору (Яндекс Маркет), реестр за неделю. Комиссия удержана. НДС не облагается;;473303.00;RUB;9014159.00;Выручка-МП
