Дата;Сумма;Направление;Контрагент;ИНН;Назначение платежа
25.04.2025;-34883.00;Расход;ООО «Кафе Уют» // Козлов А. А.;;зарплата за 04.2025
25.04.2025;-31253.00;Расход;ООО «Кафе Уют» // Белова Ю. Н.;;зарплата за 04.2025
26.04.2025;70914.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
27.04.2025;49621.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
28.04.2025;22962.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
28.04.2025;-84960.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 28.04.2025. В т.ч. НДС
28.04.2025;-30000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;НДФЛ за 04.2025
28.04.2025;-95000.00;Расход;СФР по г. Москве и МО;7703363868;Страховые взносы за 04.2025
29.04.2025;53219.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
30.04.2025;36977.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
30.04.2025;-54943.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 30.04.2025. В т.ч. НДС
01.05.2025;50019.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
02.05.2025;81168.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
02.05.2025;-180000.00;Расход;ИП Тарасов В. Г.;770912345678;Аренда помещения общепита за 05.2025. НДС не облагается
02.05.2025;-53560.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 02.05.2025. В т.ч. НДС
03.05.2025;79456.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
04.05.2025;67027.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
05.05.2025;40162.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
05.05.2025;-80256.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 05.05.2025. В т.ч. НДС
06.05.2025;22963.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
07.05.2025;52549.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
07.05.2025;-42359.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 07.05.2025. В т.ч. НДС
08.05.2025;32039.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
09.05.2025;64959.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
09.05.2025;-51329.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 09.05.2025. В т.ч. НДС
10.05.2025;50325.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
10.05.2025;-29867.00;Расход;ООО «Кафе Уют» // Николаев Р. А.;;аванс за 05.2025
10.05.2025;-23481.00;Расход;ООО «Кафе Уют» // Егорова Т. С.;;аванс за 05.2025
10.05.2025;-21629.00;Расход;ООО «Кафе Уют» // Павлов Д. И.;;аванс за 05.2025
10.05.2025;-33499.00;Расход;ООО «Кафе Уют» // Сидорова М. В.;;аванс за 05.2025
10.05.2025;-31530.00;Расход;ООО «Кафе Уют» // Козлов А. А.;;аванс за 05.2025
10.05.2025;-30537.00;Расход;ООО «Кафе Уют» // Белова Ю. Н.;;аванс за 05.2025
11.05.2025;44074.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
12.05.2025;23220.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
12.05.2025;-28317.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 12.05.2025. В т.ч. НДС
13.05.2025;37886.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
14.05.2025;31360.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
14.05.2025;-37862.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 14.05.2025. В т.ч. НДС
15.05.2025;37982.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
15.05.2025;-39153.00;Расход;АО «Мосэнергосбыт»;7736520080;Оплата электроэнергии за 05.2025. В т.ч. НДС 20%
16.05.2025;53811.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
16.05.2025;-33368.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 16.05.2025. В т.ч. НДС
17.05.2025;37557.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
18.05.2025;48660.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
19.05.2025;38312.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
19.05.2025;-50504.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 19.05.2025. В т.ч. НДС
20.05.2025;32908.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
21.05.2025;49306.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
21.05.2025;-47522.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 21.05.2025. В т.ч. НДС
22.05.2025;22846.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
23.05.2025;56365.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
23.05.2025;-83911.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 23.05.2025. В т.ч. НДС
24.05.2025;59026.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
25.05.2025;54180.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
25.05.2025;-30991.00;Расход;ООО «Кафе Уют» // Николаев Р. А.;;зарплата за 05.2025
25.05.2025;-30433.00;Расход;ООО «Кафе Уют» // Егорова Т. С.;;зарплата за 05.2025
25.05.2025;-31938.00;Расход;ООО «Кафе Уют» // Павлов Д. И.;;зарплата за 05.2025
25.05.2025;-22550.00;Расход;ООО «Кафе Уют» // Сидорова М. В.;;зарплата за 05.2025
25.05.2025;-34401.00;Расход;ООО «Кафе Уют» // Козлов А. А.;;зарплата за 05.2025
25.05.2025;-27836.00;Расход;ООО «Кафе Уют» // Белова Ю. Н.;;зарплата за 05.2025
26.05.2025;26678.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
26.05.2025;-83669.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 26.05.2025. В т.ч. НДС
27.05.2025;32149.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
28.05.2025;51202.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
28.05.2025;-78650.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 28.05.2025. В т.ч. НДС
28.05.2025;-30000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;НДФЛ за 05.2025
28.05.2025;-95000.00;Расход;СФР по г. Москве и МО;7703363868;Страховые взносы за 05.2025
29.05.2025;34959.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
30.05.2025;36756.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
30.05.2025;-46132.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 30.05.2025. В т.ч. НДС
31.05.2025;49113.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
01.06.2025;59542.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
02.06.2025;30207.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
02.06.2025;-180000.00;Расход;ИП Тарасов В. Г.;770912345678;Аренда помещения общепита за 06.2025. НДС не облагается
02.06.2025;-36360.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 02.06.2025. В т.ч. НДС
03.06.2025;36835.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
04.06.2025;52199.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
04.06.2025;-58880.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 04.06.2025. В т.ч. НДС
05.06.2025;31258.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
06.06.2025;38734.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
06.06.2025;-52114.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 06.06.2025. В т.ч. НДС
07.06.2025;82152.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
08.06.2025;38508.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
09.06.2025;44958.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
09.06.2025;-29244.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 09.06.2025. В т.ч. НДС
10.06.2025;33761.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
10.06.2025;-32672.00;Расход;ООО «Кафе Уют» // Николаев Р. А.;;аванс за 06.2025
10.06.2025;-20989.00;Расход;ООО «Кафе Уют» // Егорова Т. С.;;аванс за 06.2025
10.06.2025;-28741.00;Расход;ООО «Кафе Уют» // Павлов Д. И.;;аванс за 06.2025
10.06.2025;-24987.00;Расход;ООО «Кафе Уют» // Сидорова М. В.;;аванс за 06.2025
10.06.2025;-27386.00;Расход;ООО «Кафе Уют» // Козлов А. А.;;аванс за 06.2025
10.06.2025;-31707.00;Расход;ООО «Кафе Уют» // Белова Ю. Н.;;аванс за 06.2025
11.06.2025;36743.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
11.06.2025;-45975.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 11.06.2025. В т.ч. НДС
12.06.2025;53588.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
13.06.2025;34905.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
13.06.2025;-54889.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 13.06.2025. В т.ч. НДС
14.06.2025;49776.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
15.06.2025;67363.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
15.06.2025;-38277.00;Расход;АО «Мосэнергосбыт»;7736520080;Оплата электроэнергии за 06.2025. В т.ч. НДС 20%
16.06.2025;51653.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
16.06.2025;-68601.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 16.06.2025. В т.ч. НДС
17.06.2025;32685.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
18.06.2025;47939.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
18.06.2025;-82747.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 18.06.2025. В т.ч. НДС
19.06.2025;44283.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
20.06.2025;70260.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
20.06.2025;-31735.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 20.06.2025. В т.ч. НДС
21.06.2025;80053.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
22.06.2025;71430.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
23.06.2025;53115.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
23.06.2025;-78146.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 23.06.2025. В т.ч. НДС
24.06.2025;26625.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
25.06.2025;29763.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
25.06.2025;-45247.00;Расход;ООО «Мясной Двор»;5044119988;Оплата за продукты питания, накладная от 25.06.2025. В т.ч. НДС
25.06.2025;-24650.00;Расход;ООО «Кафе Уют» // Николаев Р. А.;;зарплата за 06.2025
25.06.2025;-34851.00;Расход;ООО «Кафе Уют» // Егорова Т. С.;;зарплата за 06.2025
25.06.2025;-20639.00;Расход;ООО «Кафе Уют» // Павлов Д. И.;;зарплата за 06.2025
25.06.2025;-34265.00;Расход;ООО «Кафе Уют» // Сидорова М. В.;;зарплата за 06.2025
25.06.2025;-34784.00;Расход;ООО «Кафе Уют» // Козлов А. А.;;зарплата за 06.2025
25.06.2025;-31223.00;Расход;ООО «Кафе Уют» // Белова Ю. Н.;;зарплата за 06.2025
25.06.2025;-78000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;Авансовый платёж по УСН за квартал
26.06.2025;52553.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
27.06.2025;55284.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
27.06.2025;-67189.00;Расход;ООО «Метро Кэш энд Керри»;7704218694;Оплата за продукты питания, накладная от 27.06.2025. В т.ч. НДС
28.06.2025;69817.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
28.06.2025;-30000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;НДФЛ за 06.2025
28.06.2025;-95000.00;Расход;СФР по г. Москве и МО;7703363868;Страховые взносы за 06.2025
29.06.2025;55230.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
30.06.2025;24779.00;Приход;АО «ТБАНК» (эквайринг);7710140679;Зачисление по операциям эквайринга. НДС не облагается
30.06.2025;-43351.00;Расход;ООО «ПродОпт Свежесть»;5029223311;Оплата за продукты питания, накладная от 30.06.2025. В т.ч. НДС
