Дата;Сумма;Направление;Контрагент;ИНН;Назначение платежа
18.04.2025;-207953.00;Расход;ООО «Текстиль-Трейд»;5024112233;Оплата по договору поставки товара №101/2025, счёт от 18.04.2025. В т.ч. НДС 20%
21.04.2025;54480.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
22.04.2025;25360.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
23.04.2025;20291.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
24.04.2025;62506.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
25.04.2025;67782.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
25.04.2025;-24000.00;Расход;ИП Петров И.С. // Смирнова А. В.;;Заработная плата (окончательный расчёт) за 04.2025. НДФЛ удержан
25.04.2025;-24000.00;Расход;ИП Петров И.С. // Кузьмина О. Н.;;Заработная плата (окончательный расчёт) за 04.2025. НДФЛ удержан
28.04.2025;52437.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
28.04.2025;-13000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;НДФЛ с заработной платы за 04.2025
28.04.2025;-27000.00;Расход;СФР по г. Москве и МО;7703363868;Страховые взносы за 04.2025
29.04.2025;51910.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
30.04.2025;46959.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
01.05.2025;62470.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
02.05.2025;52246.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
03.05.2025;-95000.00;Расход;ООО «ТЦ Меридиан»;7719854120;Оплата аренды торгового помещения за 05.2025. НДС не облагается
05.05.2025;45460.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
05.05.2025;-10482.00;Расход;ПАО СБЕРБАНК;7707083893;Комиссия за услуги эквайринга. НДС не облагается
06.05.2025;19428.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
07.05.2025;53627.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
08.05.2025;47400.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
09.05.2025;76557.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
10.05.2025;-21000.00;Расход;ИП Петров И.С. // Смирнова А. В.;;Заработная плата (аванс) за 05.2025. НДФЛ удержан
10.05.2025;-21000.00;Расход;ИП Петров И.С. // Кузьмина О. Н.;;Заработная плата (аванс) за 05.2025. НДФЛ удержан
12.05.2025;48728.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
12.05.2025;-215530.00;Расход;ООО «Модный Дом Опт»;7801456712;Оплата по договору поставки товара №100/2025, счёт от 12.05.2025. В т.ч. НДС 20%
13.05.2025;31086.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
14.05.2025;36967.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
15.05.2025;61320.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
16.05.2025;34147.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
18.05.2025;-201738.00;Расход;ООО «Текстиль-Трейд»;5024112233;Оплата по договору поставки товара №101/2025, счёт от 18.05.2025. В т.ч. НДС 20%
19.05.2025;56209.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
20.05.2025;30545.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
20.05.2025;-480000.00;Расход;ООО «Модный Дом Опт»;7801456712;Крупная предоплата по договору поставки №999/2025 (срочный заказ). В т.ч. НДС 20%
20.05.2025;-168000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;Уплата НДС/налога по требованию. Срок — сегодня
21.05.2025;24431.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
22.05.2025;44867.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
23.05.2025;38722.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
23.05.2025;528000.00;Приход;ООО «Крупный Клиент»;7701555666;Оплата по договору (задержана, поступила позже срока). НДС не облагается
25.05.2025;-24000.00;Расход;ИП Петров И.С. // Смирнова А. В.;;Заработная плата (окончательный расчёт) за 05.2025. НДФЛ удержан
25.05.2025;-24000.00;Расход;ИП Петров И.С. // Кузьмина О. Н.;;Заработная плата (окончательный расчёт) за 05.2025. НДФЛ удержан
26.05.2025;43585.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
27.05.2025;20355.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
28.05.2025;45602.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
28.05.2025;-13000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;НДФЛ с заработной платы за 05.2025
28.05.2025;-27000.00;Расход;СФР по г. Москве и МО;7703363868;Страховые взносы за 05.2025
29.05.2025;51147.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
30.05.2025;46561.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
02.06.2025;35689.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
03.06.2025;32675.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
03.06.2025;-95000.00;Расход;ООО «ТЦ Меридиан»;7719854120;Оплата аренды торгового помещения за 06.2025. НДС не облагается
04.06.2025;49085.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
05.06.2025;19013.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
05.06.2025;-10978.00;Расход;ПАО СБЕРБАНК;7707083893;Комиссия за услуги эквайринга. НДС не облагается
06.06.2025;70701.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
09.06.2025;36826.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
10.06.2025;30098.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
10.06.2025;-21000.00;Расход;ИП Петров И.С. // Смирнова А. В.;;Заработная плата (аванс) за 06.2025. НДФЛ удержан
10.06.2025;-21000.00;Расход;ИП Петров И.С. // Кузьмина О. Н.;;Заработная плата (аванс) за 06.2025. НДФЛ удержан
11.06.2025;46076.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
12.06.2025;64738.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
12.06.2025;-161982.00;Расход;ООО «Модный Дом Опт»;7801456712;Оплата по договору поставки товара №100/2025, счёт от 12.06.2025. В т.ч. НДС 20%
13.06.2025;52479.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
16.06.2025;31863.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
17.06.2025;32735.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
18.06.2025;46879.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
18.06.2025;-153353.00;Расход;ООО «Текстиль-Трейд»;5024112233;Оплата по договору поставки товара №101/2025, счёт от 18.06.2025. В т.ч. НДС 20%
19.06.2025;40265.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
20.06.2025;50342.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
23.06.2025;45252.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
24.06.2025;27933.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
25.06.2025;38271.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
25.06.2025;-24000.00;Расход;ИП Петров И.С. // Смирнова А. В.;;Заработная плата (окончательный расчёт) за 06.2025. НДФЛ удержан
25.06.2025;-24000.00;Расход;ИП Петров И.С. // Кузьмина О. Н.;;Заработная плата (окончательный расчёт) за 06.2025. НДФЛ удержан
25.06.2025;-62000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;Авансовый платёж по УСН (доходы, 6%) за отчётный квартал
26.06.2025;37693.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
27.06.2025;29287.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
28.06.2025;-13000.00;Расход;УФК по г. Москве (ИФНС России);7727406020;НДФЛ с заработной платы за 06.2025
28.06.2025;-27000.00;Расход;СФР по г. Москве и МО;7703363868;Страховые взносы за 06.2025
30.06.2025;54530.00;Приход;ПАО СБЕРБАНК (эквайринг);7707083893;Возмещение по эквайрингу по договору №ЭКВ-114/2024. НДС не облагается
